Titre,Director,Date,Rang,Note
Fight Club,David Fincher,(1999),1,8.2
Pulp Fiction,Quentin Tarantino,(1994),2,8.3
Interstellar,Christopher Nolan,(2014),3,7.8
2001 : L'Odyssée de l'espace,Stanley Kubrick,(1968),4,8.0
Blade Runner,Ridley Scott,(1982),5,7.9
Le Parrain,Francis Ford Coppola,(1972),6,8.5
Forrest Gump,Robert Zemeckis,(1994),7,8.0
Le Seigneur des Anneaux : Le Retour du roi,Peter Jackson,(2003),8,8.1
The Dark Knight - Le Chevalier noir,Christopher Nolan,(2008),9,8.0
"Le Bon, la Brute et le Truand",Sergio Leone,(1966),10,8.5
Inception,Christopher Nolan,(2010),11,7.5
Le Seigneur des Anneaux : La Communauté de l'anneau,Peter Jackson,(2001),12,8.0
Apocalypse Now,Francis Ford Coppola,(1979),13,8.3
Orange mécanique,Stanley Kubrick,(1971),14,8.0
Princesse Mononoké,Hayao Miyazaki,(1997),15,8.4
Eternal Sunshine of the Spotless Mind,Michel Gondry,(2004),16,7.8
L'Empire contre-attaque,Irvin Kershner,(1980),17,8.1
Old Boy,Park Chan-wook,(2003),18,8.1
Mulholland Drive,David Lynch,(2001),19,7.7
Le Voyage de Chihiro,Hayao Miyazaki,(2001),20,8.4
Matrix,Lilly Wachowski,(1999),21,7.8
Retour vers le futur,Robert Zemeckis,(1985),22,8.0
12 hommes en colère,Sidney Lumet,(1957),23,8.7
Il était une fois en Amérique,Sergio Leone,(1984),24,8.5
Vol au-dessus d'un nid de coucou,Miloš Forman,(1975),25,8.4
Shining,Stanley Kubrick,(1980),26,8.1
Into the Wild,Sean Penn,(2007),27,7.3
Gladiator,Ridley Scott,(2000),28,7.6
Seven,David Fincher,(1995),29,8.1
Les Affranchis,Martin Scorsese,(1990),30,8.2
Drive,Nicolas Winding Refn,(2011),31,7.4
Les Évadés,Frank Darabont,(1994),32,8.1
Il était une fois dans l'Ouest,Sergio Leone,(1968),33,8.5
The Big Lebowski,Joel Coen,(1998),34,7.8
Alien : Le 8ème Passager,Ridley Scott,(1979),35,8.1
La Ligne verte,Frank Darabont,(1999),36,7.8
Django Unchained,Quentin Tarantino,(2012),37,7.8
American Beauty,Sam Mendes,(1999),38,7.8
Barry Lyndon,Stanley Kubrick,(1975),39,8.1
Reservoir Dogs,Quentin Tarantino,(1992),40,8.0
Shutter Island,Martin Scorsese,(2010),41,7.7
Mommy,Xavier Dolan,(2014),42,7.9
Le Seigneur des Anneaux : Les Deux Tours,Peter Jackson,(2002),43,7.9
Kill Bill : Volume 1,Quentin Tarantino,(2003),44,7.6
